"orderid","customerid","employeeid","orderdate","requireddate","shippeddate","shipperid","freight"
10905,"WELLI",9,"2015-02-24","2015-03-24","2015-03-06",2,"13.72000"
10906,"WOLZA",4,"2015-02-25","2015-03-11","2015-03-03",3,"26.29000"
10907,"SPECD",6,"2015-02-25","2015-03-25","2015-02-27",3,"9.19000"
10908,"REGGC",4,"2015-02-26","2015-03-26","2015-03-06",2,"32.96000"
10909,"SANTG",1,"2015-02-26","2015-03-26","2015-03-10",2,"53.05000"
10910,"WILMK",1,"2015-02-26","2015-03-26","2015-03-04",3,"38.11000"
10911,"GODOS",3,"2015-02-26","2015-03-26","2015-03-05",1,"38.19000"
10912,"HUNGO",2,"2015-02-26","2015-03-26","2015-03-18",2,"580.91000"
10913,"QUEEN",4,"2015-02-26","2015-03-26","2015-03-04",1,"33.05000"
10914,"QUEEN",6,"2015-02-27","2015-03-27","2015-03-02",1,"21.19000"
10915,"TORTU",2,"2015-02-27","2015-03-27","2015-03-02",2,"3.51000"
10916,"RANCH",1,"2015-02-27","2015-03-27","2015-03-09",2,"63.77000"
10917,"ROMEY",4,"2015-03-02","2015-03-30","2015-03-11",2,"8.29000"
10918,"BOTTM",3,"2015-03-02","2015-03-30","2015-03-11",3,"48.83000"
10919,"LINOD",2,"2015-03-02","2015-03-30","2015-03-04",2,"19.80000"
10920,"AROUT",4,"2015-03-03","2015-03-31","2015-03-09",2,"29.61000"
10921,"VAFFE",1,"2015-03-03","2015-04-14","2015-03-09",1,"176.48000"
10922,"HANAR",5,"2015-03-03","2015-03-31","2015-03-05",3,"62.74000"
10923,"LAMAI",7,"2015-03-03","2015-04-14","2015-03-13",3,"68.26000"
10924,"BERGS",3,"2015-03-04","2015-04-01","2015-04-08",2,"151.52000"
10925,"HANAR",3,"2015-03-04","2015-04-01","2015-03-13",1,"2.27000"
10926,"ANATR",4,"2015-03-04","2015-04-01","2015-03-11",3,"39.92000"
10927,"LACOR",4,"2015-03-05","2015-04-02","2015-04-08",1,"19.79000"
10928,"GALED",1,"2015-03-05","2015-04-02","2015-03-18",1,"1.36000"
10929,"FRANK",6,"2015-03-05","2015-04-02","2015-03-12",1,"33.93000"
10930,"SUPRD",4,"2015-03-06","2015-04-17","2015-03-18",3,"15.55000"
10931,"RICSU",4,"2015-03-06","2015-03-20","2015-03-19",2,"13.60000"
10932,"BONAP",8,"2015-03-06","2015-04-03","2015-03-24",1,"134.64000"
10933,"ISLAT",6,"2015-03-06","2015-04-03","2015-03-16",3,"54.15000"
10934,"LEHMS",3,"2015-03-09","2015-04-06","2015-03-12",3,"32.01000"
10935,"WELLI",4,"2015-03-09","2015-04-06","2015-03-18",3,"47.59000"
10936,"GREAL",3,"2015-03-09","2015-04-06","2015-03-18",2,"33.68000"
10937,"CACTU",7,"2015-03-10","2015-03-24","2015-03-13",3,"31.51000"
10938,"QUICK",3,"2015-03-10","2015-04-07","2015-03-16",2,"31.89000"
10939,"MAGAA",2,"2015-03-10","2015-04-07","2015-03-13",2,"76.33000"
10940,"BONAP",8,"2015-03-11","2015-04-08","2015-03-23",3,"19.77000"
10941,"SAVEA",7,"2015-03-11","2015-04-08","2015-03-20",2,"400.81000"
10942,"REGGC",9,"2015-03-11","2015-04-08","2015-03-18",3,"17.95000"
10943,"BSBEV",4,"2015-03-11","2015-04-08","2015-03-19",2,"2.17000"
10944,"BOTTM",6,"2015-03-12","2015-03-26","2015-03-13",3,"52.92000"
10945,"MORGK",4,"2015-03-12","2015-04-09","2015-03-18",1,"10.22000"
10946,"VAFFE",1,"2015-03-12","2015-04-09","2015-03-19",2,"27.20000"
10947,"BSBEV",3,"2015-03-13","2015-04-10","2015-03-16",2,"3.26000"
10948,"GODOS",3,"2015-03-13","2015-04-10","2015-03-19",3,"23.39000"
10949,"BOTTM",2,"2015-03-13","2015-04-10","2015-03-17",3,"74.44000"
10950,"MAGAA",1,"2015-03-16","2015-04-13","2015-03-23",2,"2.50000"
10951,"RICSU",9,"2015-03-16","2015-04-27","2015-04-07",2,"30.85000"
10952,"ALFKI",1,"2015-03-16","2015-04-27","2015-03-24",1,"40.42000"
10953,"AROUT",9,"2015-03-16","2015-03-30","2015-03-25",2,"23.72000"
10954,"LINOD",5,"2015-03-17","2015-04-28","2015-03-20",1,"27.91000"
10955,"FOLKO",8,"2015-03-17","2015-04-14","2015-03-20",2,"3.26000"
10956,"BLAUS",6,"2015-03-17","2015-04-28","2015-03-20",2,"44.65000"
10957,"HILAA",8,"2015-03-18","2015-04-15","2015-03-27",3,"105.36000"
10958,"OCEAN",7,"2015-03-18","2015-04-15","2015-03-27",2,"49.56000"
10959,"GOURL",6,"2015-03-18","2015-04-29","2015-03-23",2,"4.98000"
10960,"HILAA",3,"2015-03-19","2015-04-02","2015-04-08",1,"2.08000"
10961,"QUEEN",8,"2015-03-19","2015-04-16","2015-03-30",1,"104.47000"
10962,"QUICK",8,"2015-03-19","2015-04-16","2015-03-23",2,"275.79000"
10963,"FURIB",9,"2015-03-19","2015-04-16","2015-03-26",3,"2.70000"
10964,"SPECD",3,"2015-03-20","2015-04-17","2015-03-24",2,"87.38000"
10965,"OLDWO",6,"2015-03-20","2015-04-17","2015-03-30",3,"144.38000"
10966,"CHOPS",4,"2015-03-20","2015-04-17","2015-04-08",1,"27.19000"
10967,"TOMSP",2,"2015-03-23","2015-04-20","2015-04-02",2,"62.22000"
10968,"ERNSH",1,"2015-03-23","2015-04-20","2015-04-01",3,"74.60000"
10969,"COMMI",1,"2015-03-23","2015-04-20","2015-03-30",2,"0.21000"
10970,"BOLID",9,"2015-03-24","2015-04-07","2015-04-24",1,"16.16000"
10971,"FRANR",2,"2015-03-24","2015-04-21","2015-04-02",2,"121.82000"
10972,"LACOR",4,"2015-03-24","2015-04-21","2015-03-26",2,"0.02000"
10973,"LACOR",6,"2015-03-24","2015-04-21","2015-03-27",2,"15.17000"
10974,"SPLIR",3,"2015-03-25","2015-04-08","2015-04-03",3,"12.96000"
10975,"BOTTM",1,"2015-03-25","2015-04-22","2015-03-27",3,"32.27000"
10976,"HILAA",1,"2015-03-25","2015-05-06","2015-04-03",1,"37.97000"
10977,"FOLKO",8,"2015-03-26","2015-04-23","2015-04-10",3,"208.50000"
10978,"MAISD",9,"2015-03-26","2015-04-23","2015-04-23",2,"32.82000"
10979,"ERNSH",8,"2015-03-26","2015-04-23","2015-03-31",2,"353.07000"
10980,"FOLKO",4,"2015-03-27","2015-05-08","2015-04-17",1,"1.26000"
10981,"HANAR",1,"2015-03-27","2015-04-24","2015-04-02",2,"193.37000"
10982,"BOTTM",2,"2015-03-27","2015-04-24","2015-04-08",1,"14.01000"
10983,"SAVEA",2,"2015-03-27","2015-04-24","2015-04-06",2,"657.54000"
10984,"SAVEA",1,"2015-03-30","2015-04-27","2015-04-03",3,"211.22000"
10985,"HUNGO",2,"2015-03-30","2015-04-27","2015-04-02",1,"91.51000"
10986,"OCEAN",8,"2015-03-30","2015-04-27","2015-04-21",2,"217.86000"
10987,"EASTC",8,"2015-03-31","2015-04-28","2015-04-06",1,"185.48000"
10988,"RATTC",3,"2015-03-31","2015-04-28","2015-04-10",2,"61.14000"
10989,"QUEDE",2,"2015-03-31","2015-04-28","2015-04-02",1,"34.76000"
10990,"ERNSH",2,"2015-04-01","2015-05-13","2015-04-07",3,"117.61000"
10991,"QUICK",1,"2015-04-01","2015-04-29","2015-04-07",1,"38.51000"
10992,"THEBI",1,"2015-04-01","2015-04-29","2015-04-03",3,"4.27000"
10993,"FOLKO",7,"2015-04-01","2015-04-29","2015-04-10",3,"8.81000"
10994,"VAFFE",2,"2015-04-02","2015-04-16","2015-04-09",3,"65.53000"
10995,"PERIC",1,"2015-04-02","2015-04-30","2015-04-06",3,"46.00000"
10996,"QUICK",4,"2015-04-02","2015-04-30","2015-04-10",2,"1.12000"
10997,"LILAS",8,"2015-04-03","2015-05-15","2015-04-13",2,"73.91000"
10998,"WOLZA",8,"2015-04-03","2015-04-17","2015-04-17",2,"20.31000"
10999,"OTTIK",6,"2015-04-03","2015-05-01","2015-04-10",2,"96.35000"
11000,"RATTC",2,"2015-04-06","2015-05-04","2015-04-14",3,"55.12000"
11001,"FOLKO",2,"2015-04-06","2015-05-04","2015-04-14",2,"197.30000"
11002,"SAVEA",4,"2015-04-06","2015-05-04","2015-04-16",1,"141.16000"
11003,"THECR",3,"2015-04-06","2015-05-04","2015-04-08",3,"14.91000"
11004,"MAISD",3,"2015-04-07","2015-05-05","2015-04-20",1,"44.84000"
11005,"WILMK",2,"2015-04-07","2015-05-05","2015-04-10",1,"0.75000"
11006,"GREAL",3,"2015-04-07","2015-05-05","2015-04-15",2,"25.19000"
11007,"PRINI",8,"2015-04-08","2015-05-06","2015-04-13",2,"202.24000"
11008,"ERNSH",7,"2015-04-08","2015-05-06",NULL,3,"79.46000"
11009,"GODOS",2,"2015-04-08","2015-05-06","2015-04-10",1,"59.11000"
11010,"REGGC",2,"2015-04-09","2015-05-07","2015-04-21",2,"28.71000"
11011,"ALFKI",3,"2015-04-09","2015-05-07","2015-04-13",1,"1.21000"
11012,"FRANK",1,"2015-04-09","2015-04-23","2015-04-17",3,"242.95000"
11013,"ROMEY",2,"2015-04-09","2015-05-07","2015-04-10",1,"32.99000"
11014,"LINOD",2,"2015-04-10","2015-05-08","2015-04-15",3,"23.60000"
11015,"SANTG",2,"2015-04-10","2015-04-24","2015-04-20",2,"4.62000"
11016,"AROUT",9,"2015-04-10","2015-05-08","2015-04-13",2,"33.80000"
11017,"ERNSH",9,"2015-04-13","2015-05-11","2015-04-20",2,"754.26000"
11018,"LONEP",4,"2015-04-13","2015-05-11","2015-04-16",2,"11.65000"
11019,"RANCH",6,"2015-04-13","2015-05-11",NULL,3,"3.17000"
11020,"OTTIK",2,"2015-04-14","2015-05-12","2015-04-16",2,"43.30000"
11021,"QUICK",3,"2015-04-14","2015-05-12","2015-04-21",1,"297.18000"
11022,"HANAR",9,"2015-04-14","2015-05-12","2015-05-04",2,"6.27000"
11023,"BSBEV",1,"2015-04-14","2015-04-28","2015-04-24",2,"123.83000"
11024,"EASTC",4,"2015-04-15","2015-05-13","2015-04-20",1,"74.36000"
11025,"WARTH",6,"2015-04-15","2015-05-13","2015-04-24",3,"29.17000"
11026,"FRANS",4,"2015-04-15","2015-05-13","2015-04-28",1,"47.09000"
11027,"BOTTM",1,"2015-04-16","2015-05-14","2015-04-20",1,"52.52000"
11028,"KOENE",2,"2015-04-16","2015-05-14","2015-04-22",1,"29.59000"
11029,"CHOPS",4,"2015-04-16","2015-05-14","2015-04-27",1,"47.84000"
11030,"SAVEA",7,"2015-04-17","2015-05-15","2015-04-27",2,"830.75000"
11031,"SAVEA",6,"2015-04-17","2015-05-15","2015-04-24",2,"227.22000"
11032,"WHITC",2,"2015-04-17","2015-05-15","2015-04-23",3,"606.19000"
11033,"RICSU",7,"2015-04-17","2015-05-15","2015-04-23",3,"84.74000"
11034,"OLDWO",8,"2015-04-20","2015-06-01","2015-04-27",1,"40.32000"
11035,"SUPRD",2,"2015-04-20","2015-05-18","2015-04-24",2,"0.17000"
11036,"DRACD",8,"2015-04-20","2015-05-18","2015-04-22",3,"149.47000"
11037,"GODOS",7,"2015-04-21","2015-05-19","2015-04-27",1,"3.20000"
11038,"SUPRD",1,"2015-04-21","2015-05-19","2015-04-30",2,"29.59000"
11039,"LINOD",1,"2015-04-21","2015-05-19",NULL,2,"65.00000"
11040,"GREAL",4,"2015-04-22","2015-05-20",NULL,3,"18.84000"
11041,"CHOPS",3,"2015-04-22","2015-05-20","2015-04-28",2,"48.22000"
11042,"COMMI",2,"2015-04-22","2015-05-06","2015-05-01",1,"29.99000"
11043,"SPECD",5,"2015-04-22","2015-05-20","2015-04-29",2,"8.80000"
11044,"WOLZA",4,"2015-04-23","2015-05-21","2015-05-01",1,"8.72000"
11045,"BOTTM",6,"2015-04-23","2015-05-21",NULL,2,"70.58000"
11046,"WANDK",8,"2015-04-23","2015-05-21","2015-04-24",2,"71.64000"
11047,"EASTC",7,"2015-04-24","2015-05-22","2015-05-01",3,"46.62000"
11048,"BOTTM",7,"2015-04-24","2015-05-22","2015-04-30",3,"24.12000"
11049,"GOURL",3,"2015-04-24","2015-05-22","2015-05-04",1,"8.34000"
11050,"FOLKO",8,"2015-04-27","2015-05-25","2015-05-05",2,"59.41000"
11051,"LAMAI",7,"2015-04-27","2015-05-25",NULL,3,"2.79000"
11052,"HANAR",3,"2015-04-27","2015-05-25","2015-05-01",1,"67.26000"
11053,"PICCO",2,"2015-04-27","2015-05-25","2015-04-29",2,"53.05000"
11054,"CACTU",8,"2015-04-28","2015-05-26",NULL,1,"0.33000"
11055,"HILAA",7,"2015-04-28","2015-05-26","2015-05-05",2,"120.92000"
11056,"EASTC",8,"2015-04-28","2015-05-12","2015-05-01",2,"278.96000"
11057,"NORTS",3,"2015-04-29","2015-05-27","2015-05-01",3,"4.13000"
11058,"BLAUS",9,"2015-04-29","2015-05-27",NULL,3,"31.14000"
11059,"RICAR",2,"2015-04-29","2015-06-10",NULL,2,"85.80000"
11060,"FRANS",2,"2015-04-30","2015-05-28","2015-05-04",2,"10.98000"
11061,"GREAL",4,"2015-04-30","2015-06-11",NULL,3,"14.01000"
11062,"REGGC",4,"2015-04-30","2015-05-28",NULL,2,"29.93000"
11063,"HUNGO",3,"2015-04-30","2015-05-28","2015-05-06",2,"81.73000"
11064,"SAVEA",1,"2015-05-01","2015-05-29","2015-05-04",1,"30.09000"
11065,"LILAS",8,"2015-05-01","2015-05-29",NULL,1,"12.91000"
11066,"WHITC",7,"2015-05-01","2015-05-29","2015-05-04",2,"44.72000"
11067,"DRACD",1,"2015-05-04","2015-05-18","2015-05-06",2,"7.98000"
11068,"QUEEN",8,"2015-05-04","2015-06-01",NULL,2,"81.75000"
11069,"TORTU",1,"2015-05-04","2015-06-01","2015-05-06",2,"15.67000"
11070,"LEHMS",2,"2015-05-05","2015-06-02",NULL,1,"136.00000"
11071,"LILAS",1,"2015-05-05","2015-06-02",NULL,1,"0.93000"
11072,"ERNSH",4,"2015-05-05","2015-06-02",NULL,2,"258.64000"
11073,"PERIC",2,"2015-05-05","2015-06-02",NULL,2,"24.95000"
11074,"SIMOB",7,"2015-05-06","2015-06-03",NULL,2,"18.44000"
11075,"RICSU",8,"2015-05-06","2015-06-03",NULL,2,"6.19000"
11076,"BONAP",4,"2015-05-06","2015-06-03",NULL,2,"38.28000"
11077,"RATTC",1,"2015-05-06","2015-06-03",NULL,2,"8.53000"
